NomDep;NomLoc;zip2010;zip2022
CASTELLANOS;PLAZA SAGUIER;plazasaguiera3h;PLAZASAGUIER
9 DE JULIO;POZO BORRADO;pozoborradoa3h;POZOBORRADO
VERA;POZO DE LOS INDIOS;pozodelosindiosa3v;POZODELOSINDIOS
CASTELLANOS;PRESIDENTE ROCA;presidenterocaa2v;PRESIDENTEROCA
LAS COLONIAS;PROGRESO;progresoa2h;PROGRESO
LAS COLONIAS;PROVIDENCIA;providenciaa3h;PROVIDENCIA
IRIONDO;PUEBLO ANDINO;puebloandinoa2h;PUEBLOANDINO
ROSARIO;PUEBLO ESTHER;PuebloEstherA1H;PUEBLOESTHER
VERA;PUEBLO LUIS BERLI;PUEBLOLUISBERLI;PUEBLOLUISBERLI
CASTELLANOS;PUEBLO MARINI;pueblomarinia3h;PUEBLOMARINI
ROSARIO;PUEBLO MUÑOZ;pueblomunoza3h;PUEBLOMUNOZ
VERA;PUEBLO SANTA LUCIA;pueblosantaluciaa3v;PUEBLOSANTALUCIA
ROSARIO;PUEBLO URANGA;urangaa3v;PUEBLOURANGA
SAN JERONIMO;PUERTO ARAGON;puertoaragona3h;PUERTOARAGON
ROSARIO;PUERTO ARROYO SECO;puertoarroyosecoa1h;PUERTOARROYOSECO
SAN LORENZO;PUERTO GENERAL SAN MARTIN;Puertogralsanmartina1h;PUERTOGENERALSANMARTIN
GENERAL OBLIGADO;PUERTO RECONQUISTA;puertoreconquistaa3v;PUERTORECONQUISTA
SAN LORENZO;PUJATO;pujatoa3h;PUJATO
LAS COLONIAS;PUJATO NORTE;PUJATONORTE;PUJATONORTE
CASTELLANOS;RAFAELA;rafaelaa0h;RAFAELA
SAN JUSTO;RAMAYON;ramayona3h;RAMAYON
CASTELLANOS;RAMONA;ramonaa3h;RAMONA
GENERAL OBLIGADO;RECONQUISTA;reconquistaa0v;RECONQUISTA
LA CAPITAL;RECREO;recreoa1v;RECREO
SAN LORENZO;RICARDONE;ricardonea2h;RICARDONE
LA CAPITAL;RINCON POTRERO;rinconpotreroa1h;RINCONPOTRERO
SAN LORENZO;ROLDAN;roldana0v;ROLDAN
SAN JAVIER;ROMANG;Romanga2h;ROMANG
ROSARIO;ROSARIO;rosarioa0v;ROSARIO
CONSTITUCION;RUEDA;ruedaa3h;RUEDA
GENERAL LOPEZ;RUFINO;rufinoa0h;RUFINO
LAS COLONIAS;SA PEREYRA;sapereyraa3h;SAPEREYRA
GARAY;SALADERO MARIANO CABAL;saladeromarianocabala3h;SALADEROMARIANOCABAL
IRIONDO;SALTO GRANDE;saltograndea2v;SALTOGRANDE
LAS COLONIAS;SAN AGUSTIN;sanagustina3h;SANAGUSTIN
CASTELLANOS;SAN ANTONIO;sanantonioa3h;SANANTONIO
GENERAL OBLIGADO;SAN ANTONIO DE OBLIGADO;sanantoniodeobligadoa2v;SANANTONIODEOBLIGADO
9 DE JULIO;SAN BERNARDO (9 DE JULIO);;SANBERNARDO9DEJULIO
SAN JUSTO;SAN BERNARDO (SAN JUSTO);sanbernardoa3h;SANBERNARDOSANJUSTO
LAS COLONIAS;SAN CARLOS CENTRO;sancarloscentroa1v;SANCARLOSCENTRO
LAS COLONIAS;SAN CARLOS NORTE;sancarlosnortea3h;SANCARLOSNORTE
LAS COLONIAS;SAN CARLOS SUD;sancarlossuda3v;SANCARLOSSUD
SAN CRISTOBAL;SAN CRISTOBAL;SanCristobala1v;SANCRISTOBAL
GENERAL LOPEZ;SAN EDUARDO;saneduardoa3h;SANEDUARDO
SAN JERONIMO;SAN EUGENIO;saneugenioa3v;SANEUGENIO
SAN JERONIMO;SAN FABIAN;sanfabiana3v;SANFABIAN
GENERAL LOPEZ;SAN FRANCISCO DE SANTA FE;sanfranciscodesantafea3h;SANFRANCISCODESANTAFE
SAN JERONIMO;SAN GENARO;sangenaroa1h;SANGENARO
GENERAL LOPEZ;SAN GREGORIO;sangregorioa2h;SANGREGORIO
SAN CRISTOBAL;SAN GUILLERMO;sanguillermoa2h;SANGUILLERMO
SAN JAVIER;SAN JAVIER;sanjaviera1v;SANJAVIER
LAS COLONIAS;SAN JERONIMO DEL SAUCE;sanjeronimodelsaucea2h;SANJERONIMODELSAUCE
LAS COLONIAS;SAN JERONIMO NORTE;sanjeronimonortea2h;SANJERONIMONORTE
SAN LORENZO;SAN JERONIMO SUD;sanjeronimosuda3v;SANJERONIMOSUD
SAN MARTIN;SAN JORGE;sanjorgea1h;SANJORGE
CASEROS;SAN JOSE DE LA ESQUINA;sanjosedelaesquinaA2H;SANJOSEDELAESQUINA
LA CAPITAL;SAN JOSE DEL RINCON;SanJosedelRinconA3h;SANJOSEDELRINCON
SAN JUSTO;SAN JUSTO;sanjustoa1h;SANJUSTO
SAN LORENZO;SAN LORENZO;sanlorenzoa0v;SANLORENZO
